"datefed","species","site","ratID","seedfate"
"11/6/2017","morinda","by race","antoinette","handle"
"11/6/2017","morinda","by race","antoinette","handle"
"1/2/2018","ochrosia","anao","pepe","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"10/12/2017","carica papaya","uog ml","antoinette","handle"
"1/4/2018","melanolepis","anao","francois","handle"
"1/4/2018","melanolepis","anao","antoinette","handle"
"1/4/2018","melanolepis","anao","antoinette","handle"
"1/4/2018","melanolepis","anao","antoinette","handle"
"1/4/2018","melanolepis","anao","antoinette","handle"
"12/7/2017","ochrosia","blas","pepe","handle"
"8/14/2017","triphasia","gcc","pepe","handle"
"10/5/2017","pandanus tectorius","anao","claudia","handle"
"10/5/2017","pandanus tectorius","anao","francois","handle"
"10/5/2017","pandanus tectorius","anao","antoinette","handle"
"10/5/2017","pandanus tectorius","anao","gustave","handle"
"10/5/2017","aglaia","nblas","francois","handle"
"10/5/2017","aglaia","nblas","francois","handle"
"10/5/2017","aglaia","nblas","francois","handle"
"10/12/2017","aglaia","blas","claudia","handle"
"10/23/2017","vitex","foody's","gustave","handle"
"10/23/2017","vitex","foody's","gustave","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"10/26/2017","aidia","pagat","antoinette","handle"
"11/2/2017","aglaia","blas","pepe","handle"
"11/2/2017","aglaia","blas","pepe","handle"
"11/2/2017","aglaia","blas","pepe","handle"
"11/13/2017","triphasia","blas","claudia","handle"
"11/13/2017","triphasia","blas","claudia","handle"
"11/13/2017","aidia","blas","antoinette","handle"
"11/13/2017","aidia","blas","antoinette","handle"
"11/13/2017","melanolepis","blas","antoinette","handle"
"11/13/2017","melanolepis","blas","antoinette","handle"
"11/6/2017","morinda","by race","francois","handle"
"11/6/2017","morinda","by race","francois","handle"
"11/6/2017","morinda","by race","francois","handle"
"11/6/2017","morinda","by race","francois","handle"
"11/6/2017","morinda","by race","francois","handle"
"11/6/2017","morinda","by race","francois","handle"
"11/6/2017","morinda","by race","francois","handle"
"10/5/2017","pandanus tectorius","anao","gustave","handle"
"11/2/2017","morinda","blas","antoinette","handle"
"11/2/2017","morinda","blas","antoinette","handle"
"11/2/2017","morinda","blas","antoinette","handle"
"11/2/2017","morinda","blas","antoinette","handle"
"11/2/2017","morinda","blas","antoinette","handle"
"11/2/2017","morinda","blas","antoinette","handle"
"12/18/2017","pandanus tectorius","pic","claudia","handle"
"12/18/2017","pandanus tectorius","pic","antoinette","handle"
"12/18/2017","pandanus tectorius","pic","gustave","handle"
"10/5/2017","pandanus tectorius","anao","pepe","handle"
"8/14/2017","morinda","ritd gate","pepe","handle"
"8/14/2017","morinda","ritd gate","pepe","handle"
"8/14/2017","morinda","ritd gate","pepe","handle"
"8/14/2017","morinda","ritd gate","pepe","handle"
"8/14/2017","morinda","ritd gate","pepe","handle"
"8/14/2017","morinda","ritd gate","pepe","handle"
"8/14/2017","morinda","ritd gate","francois","handle"
"8/14/2017","morinda","ritd gate","francois","handle"
"8/14/2017","morinda","ritd gate","francois","handle"
"8/14/2017","morinda","ritd gate","francois","handle"
"8/14/2017","morinda","ritd gate","francois","handle"
"8/14/2017","morinda","ritd gate","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
"11/21/2017","carica papaya","fandango road","francois","handle"
